iter	Passed	Remaining
235	489	1585
236	491	1581
237	492	1576
238	493	1572
239	495	1567
240	496	1563
241	497	1559
242	499	1555
243	500	1551
244	501	1546
245	503	1542
246	504	1537
247	505	1533
248	507	1529
249	508	1524
250	509	1520
251	510	1516
252	512	1512
253	513	1508
254	514	1504
255	516	1500
256	517	1496
257	518	1492
258	520	1488
259	521	1483
260	522	1480
261	524	1476
262	525	1472
263	526	1468
264	528	1464
265	529	1460
266	530	1456
267	531	1453
268	533	1449
269	534	1445
270	535	1441
271	537	1437
272	538	1433
273	539	1429
274	540	1425
275	542	1421
276	543	1417
277	544	1414
278	545	1410
279	547	1406
280	548	1403
281	549	1399
282	551	1396
283	552	1392
284	553	1389
285	555	1385
286	556	1381
287	557	1378
288	558	1375
289	560	1371
290	561	1368
291	562	1364
292	564	1361
293	565	1358
294	569	1361
295	571	1359
296	573	1357
297	574	1354
298	576	1350
299	577	1347
300	578	1343
301	580	1340
302	581	1337
303	582	1333
304	583	1330
305	584	1325
306	585	1322
307	587	1319
308	588	1316
309	589	1313
310	591	1309
311	592	1306
312	593	1303
313	595	1300
314	596	1296
315	597	1293
316	598	1290
317	600	1287
318	601	1284
319	602	1281
320	604	1277
321	605	1274
322	606	1272
323	608	1269
324	609	1266
325	610	1262
326	612	1259
327	613	1256
328	614	1253
329	616	1250
330	617	1248
331	618	1245
332	620	1242
333	622	1240
334	623	1237
335	624	1234
336	625	1231
337	627	1228
338	628	1225
339	629	1222
340	631	1219
341	632	1216
342	633	1214
343	635	1211
344	636	1208
345	637	1205
346	639	1202
347	640	1199
348	641	1197
349	643	1194
350	644	1191
351	645	1188
352	646	1185
353	648	1182
354	649	1180
355	650	1177
356	652	1174
357	653	1171
358	654	1168
359	655	1165
360	657	1163
361	658	1160
362	659	1157
363	660	1154
364	662	1152
365	663	1149
366	664	1146
367	665	1143
368	667	1140
369	668	1138
370	669	1135
371	671	1133
372	672	1130
373	673	1127
374	675	1125
375	676	1122
376	677	1120
377	679	1117
378	680	1115
379	681	1112
380	683	1109
381	684	1107
382	685	1104
383	686	1102
384	688	1099
385	689	1096
386	690	1094
387	692	1092
388	693	1089
389	696	1088
390	697	1086
391	698	1083
392	699	1080
393	701	1078
394	702	1075
395	703	1073
396	704	1070
397	706	1068
398	707	1065
399	708	1063
400	710	1060
401	711	1058
402	712	1055
403	713	1053
404	715	1050
405	716	1048
406	717	1045
407	719	1043
408	721	1041
409	722	1039
410	723	1036
411	724	1034
412	726	1031
413	727	1029
414	728	1026
415	729	1024
416	731	1022
417	732	1019
418	733	1017
419	735	1015
420	736	1013
421	737	1010
422	739	1008
423	740	1005
424	741	1003
425	742	1001
426	744	998
427	745	996
428	746	993
429	748	991
430	749	989
431	750	987
432	752	984
433	753	982
434	754	980
435	755	977
436	757	975
437	758	973
438	759	970
439	761	968
440	762	966
441	763	964
442	765	962
443	766	959
444	767	957
445	769	955
446	770	952
447	771	950
448	772	948
449	774	946
450	775	943
451	776	941
452	778	939
453	779	937
454	780	935
455	782	933
456	783	930
457	784	928
458	785	926
459	787	923
460	788	921
461	789	919
462	790	917
463	792	915
464	793	912
465	794	910
466	796	908
467	797	906
468	798	903
469	799	901
470	800	899
471	802	897
472	803	895
473	804	893
474	806	891
475	807	888
476	808	886
477	810	884
478	811	882
479	812	880
480	813	878
481	815	876
482	816	873
483	817	871
484	819	870
485	821	868
486	824	868
487	825	866
488	826	864
489	828	861
490	829	859
491	830	857
492	831	855
493	833	853
494	834	851
495	835	849
496	836	847
497	838	844
498	839	842
499	840	840
500	842	838
501	843	836
502	844	834
503	846	832
504	847	830
505	848	828
506	850	826
507	851	824
508	852	822
509	854	820
510	855	818
511	856	816
512	857	814
513	859	812
514	860	810
515	861	808
516	863	806
517	864	804
518	865	802
519	867	800
520	868	798
521	869	796
522	871	794
523	872	792
524	873	790
525	874	788
526	876	786
527	877	784
528	879	782
529	880	780
530	882	779
531	883	777
532	884	775
533	886	773
534	887	771
535	889	769
536	890	767
537	891	765
538	892	763
539	894	761
540	895	759
541	896	757
542	898	755
543	899	753
544	900	752
545	902	750
546	903	748
547	904	746
548	906	744
549	907	742
550	909	740
551	910	739
552	911	737
553	913	735
554	914	733
555	916	731
556	917	729
557	919	727
558	920	726
559	921	724
560	922	722
561	924	720
562	925	718
563	926	716
564	927	714
565	929	712
566	930	710
567	931	708
568	933	706
569	934	704
570	935	703
571	937	701
572	938	699
573	939	697
574	940	695
575	942	693
576	943	691
577	944	689
578	946	688
579	947	686
580	950	685
581	952	683
582	953	681
583	954	680
584	955	678
585	957	676
586	958	674
587	959	672
588	961	670
589	962	668
590	963	666
591	964	665
592	966	663
593	967	661
594	968	659
595	970	657
596	971	655
597	972	653
598	973	652
599	975	650
600	976	648
601	977	646
602	979	644
603	980	642
604	981	640
605	982	639
606	984	637
607	985	635
608	986	633
609	988	631
610	989	629
611	990	628
612	992	626
613	993	624
614	994	622
615	995	620
616	997	619
617	998	617
618	999	615
619	1000	613
620	1002	611
621	1003	609
622	1004	608
623	1006	606
624	1007	604
625	1008	602
626	1010	601
627	1011	599
628	1012	597
629	1014	595
630	1015	593
631	1017	592
632	1019	590
633	1020	589
634	1021	587
635	1022	585
636	1024	583
637	1025	581
638	1026	579
639	1027	578
640	1029	576
641	1030	574
642	1031	572
643	1033	571
644	1034	569
645	1035	567
646	1037	565
647	1038	564
648	1039	562
649	1040	560
650	1042	558
651	1043	556
652	1044	555
653	1046	553
654	1047	551
655	1048	550
656	1050	548
657	1051	546
658	1052	544
659	1053	542
660	1055	541
661	1056	539
662	1057	537
663	1059	535
664	1060	534
665	1061	532
666	1063	530
667	1064	528
668	1065	527
669	1067	525
670	1068	523
671	1069	522
672	1070	520
673	1072	518
674	1073	517
675	1075	515
676	1078	514
677	1079	512
678	1081	511
679	1082	509
680	1083	507
681	1084	505
682	1085	504
683	1087	502
684	1088	500
685	1089	498
686	1091	497
687	1092	495
688	1093	493
689	1095	492
690	1096	490
691	1097	488
692	1099	486
693	1100	485
694	1101	483
695	1102	481
696	1104	480
697	1105	478
698	1106	476
699	1108	474
700	1109	473
701	1110	471
702	1111	469
703	1113	468
704	1114	466
705	1115	464
706	1117	462
707	1118	461
708	1119	459
709	1120	457
710	1122	456
711	1123	454
712	1124	452
713	1126	451
714	1127	449
715	1128	447
716	1129	445
717	1131	444
718	1132	442
719	1133	440
720	1135	439
721	1136	437
722	1137	435
723	1139	434
724	1140	432
725	1141	430
726	1142	429
727	1144	427
728	1145	425
729	1146	424
730	1148	422
731	1149	420
732	1150	419
733	1152	417
734	1153	415
735	1154	414
736	1156	412
737	1157	410
738	1158	409
739	1160	407
740	1161	405
741	1162	404
742	1163	402
743	1165	400
744	1166	399
745	1167	397
746	1169	395
747	1170	394
748	1171	392
749	1173	391
750	1174	389
751	1175	387
752	1177	386
753	1178	384
754	1179	382
755	1181	381
756	1182	379
757	1183	377
758	1184	376
759	1186	374
760	1187	372
761	1188	371
762	1190	369
763	1191	368
764	1192	366
765	1194	364
766	1195	363
767	1196	361
768	1198	359
769	1199	358
770	1201	356
771	1202	355
772	1205	354
773	1207	352
774	1208	350
775	1209	349
776	1211	347
777	1212	345
778	1213	344
779	1215	342
780	1216	341
781	1217	339
782	1219	337
783	1220	336
784	1221	334
785	1222	332
786	1224	331
787	1226	329
788	1227	328
789	1228	326
790	1229	324
791	1231	323
792	1232	321
793	1233	320
794	1234	318
795	1236	316
796	1237	315
797	1238	313
798	1240	311
799	1241	310
800	1242	308
801	1243	307
802	1245	305
803	1246	303
804	1247	302
805	1248	300
806	1250	299
807	1251	297
808	1252	295
809	1254	294
810	1255	292
811	1256	290
812	1258	289
813	1259	287
814	1260	286
815	1262	284
816	1263	282
817	1264	281
818	1265	279
819	1267	278
820	1268	276
821	1269	274
822	1271	273
823	1272	271
824	1273	270
825	1275	268
826	1276	267
827	1277	265
828	1279	263
829	1280	262
830	1281	260
831	1282	259
832	1284	257
833	1285	255
834	1286	254
835	1288	252
836	1289	251
837	1290	249
838	1292	247
839	1293	246
840	1294	244
841	1296	243
842	1297	241
843	1298	240
844	1299	238
845	1301	236
846	1302	235
847	1303	233
848	1304	232
849	1306	230
850	1307	228
851	1308	227
852	1310	225
853	1311	224
854	1312	222
855	1314	221
856	1315	219
857	1317	217
858	1318	216
859	1319	214
860	1320	213
861	1322	211
862	1323	210
863	1324	208
864	1325	206
865	1327	205
866	1328	203
867	1330	202
868	1332	200
869	1334	199
870	1335	197
871	1336	196
872	1338	194
873	1339	193
874	1340	191
875	1342	190
876	1344	188
877	1345	186
878	1346	185
879	1348	183
880	1349	182
881	1350	180
882	1352	179
883	1353	177
884	1355	176
885	1356	174
886	1357	172
887	1359	171
888	1360	169
889	1361	168
890	1362	166
891	1364	165
892	1365	163
893	1366	162
894	1368	160
895	1369	158
896	1370	157
897	1372	155
898	1373	154
899	1375	152
900	1376	151
901	1378	149
902	1379	148
903	1381	146
904	1382	145
905	1383	143
906	1384	141
907	1385	140
908	1387	138
909	1388	137
910	1389	135
911	1390	134
912	1392	132
913	1393	131
914	1394	129
915	1395	128
916	1397	126
917	1398	124
918	1399	123
919	1401	121
920	1402	120
921	1403	118
922	1405	117
923	1406	115
924	1407	114
925	1409	112
926	1410	111
927	1411	109
928	1413	107
929	1414	106
930	1415	104
931	1417	103
932	1418	101
933	1419	100
934	1421	98
935	1422	97
936	1423	95
937	1424	94
938	1426	92
939	1427	91
940	1428	89
941	1430	88
942	1431	86
943	1432	85
944	1434	83
945	1435	81
946	1436	80
947	1438	78
948	1439	77
949	1440	75
950	1441	74
951	1443	72
952	1444	71
953	1445	69
954	1447	68
955	1448	66
956	1449	65
957	1451	63
958	1452	62
959	1453	60
960	1455	59
961	1456	57
962	1458	56
963	1460	54
964	1461	53
965	1462	51
966	1463	49
967	1465	48
968	1466	46
969	1467	45
970	1468	43
971	1470	42
972	1471	40
973	1472	39
974	1474	37
975	1475	36
976	1476	34
977	1478	33
978	1479	31
979	1480	30
980	1481	28
981	1483	27
982	1484	25
983	1485	24
984	1487	22
985	1488	21
986	1489	19
987	1491	18
988	1492	16
989	1493	15
990	1494	13
991	1496	12
992	1497	10
993	1499	9
994	1500	7
995	1501	6
996	1503	4
997	1504	3
998	1505	1
999	1507	0
